PhoneLink,Model Name,Price,DcPrice,Color,QuickCharge,Size,Processor,Storage,RAM,Camera,FrontCam,Network,Battery,NewSize,ProcessorNew,Brand,BackCamera,FrontCamera,Net,Power
https://www.flipkart.com/oppo-a53-mint-cream-64-gb/p/itmf59942b768c29?pid=MOBGF8MYA8ZGWZGV&lid=LSTMOBGF8MYA8ZGWZGVSEAZOP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBGF8MYA8ZGWZGV.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A53 (Mint Cream, 64 GB)  (4 GB RAM)",15990,11990,Mint Cream,0,16.51 cm (6.5 inch),Snapdragon Snapdragon 460,64,4,13MP + 2MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",5000 mAh,6.5,Snapdragon,OPPO,13,16,0,5000
https://www.flipkart.com/oppo-a57-glowing-gold-64-gb/p/itma242c097cc9a1?pid=MOBGGZD3WHX3NZRR&lid=LSTMOBGGZD3WHX3NZRRTBCZZZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBGGZD3WHX3NZRR.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A57 (Glowing Gold, 64 GB)  (4 GB RAM)",16990,14280,Glowing Gold,1,16.66 cm (6.56 inch),MediaTek MediaTek G35,64,4,13MP + 2MP,8MP Front Camera,"4G VOLTE, 4G, 3G, 2G",5000 mAh,6.56,MediaTek,OPPO,13,8,0,5000
https://www.flipkart.com/oppo-a57-glowing-black-64-gb/p/itma242c097cc9a1?pid=MOBGFBTZMUEZZZZB&lid=LSTMOBGFBTZMUEZZZZBXXY0OJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBGFBTZMUEZZZZB.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A57 (Glowing Black, 64 GB)  (4 GB RAM)",16990,13889,Glowing Black,1,16.66 cm (6.56 inch),MediaTek MediaTek G35,64,4,13MP + 2MP,8MP Front Camera,"4G VOLTE, 4G, 3G, 2G",5000 mAh,6.56,MediaTek,OPPO,13,8,0,5000
https://www.flipkart.com/oppo-a53-fairy-white-64-gb/p/itmf59942b768c29?pid=MOBFURAQ3KQMUYZP&lid=LSTMOBFURAQ3KQMUYZPBNU1I2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBFURAQ3KQMUYZP.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A53 (Fairy White, 64 GB)  (4 GB RAM)",15990,15980,Fairy White,0,16.51 cm (6.5 inch),Snapdragon Snapdragon 460,64,4,13MP + 2MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",5000 mAh,6.5,Snapdragon,OPPO,13,16,0,5000
https://www.flipkart.com/oppo-a55-starry-black-64-gb/p/itmfd07b94a9a543?pid=MOBG84AZTSAMHC2E&lid=LSTMOBG84AZTSAMHC2EOY9GMR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBG84AZTSAMHC2E.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A55 (Starry Black, 64 GB)  (4 GB RAM)",18990,14100,Starry Black,0,16.54 cm (6.51 inch),MediaTek MediaTek G35,64,4,50MP + 2MP + 2MP,16MP Front Camera,"4G, 3G, 2G",5000 mAh,6.51,MediaTek,OPPO,50,16,0,5000
https://www.flipkart.com/oppo-a55-rainbow-blue-64-gb/p/itmfd07b94a9a543?pid=MOBG84AZFGQD7FPV&lid=LSTMOBG84AZFGQD7FPVT7GVOD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBG84AZFGQD7FPV.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A55 (Rainbow Blue, 64 GB)  (4 GB RAM)",17990,14880,Rainbow Blue,0,16.54 cm (6.51 inch),MediaTek MediaTek G35,64,4,50MP + 2MP + 2MP,16MP Front Camera,"4G, 3G, 2G",5000 mAh,6.51,MediaTek,OPPO,50,16,0,5000
https://www.flipkart.com/oppo-a57-glowing-green-64-gb/p/itma242c097cc9a1?pid=MOBGFBTZZYMMXHEN&lid=LSTMOBGFBTZZYMMXHENXP9QXK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBGFBTZZYMMXHEN.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A57 (Glowing Green, 64 GB)  (4 GB RAM)",16990,13999,Glowing Green,1,16.66 cm (6.56 inch),MediaTek MediaTek G35,64,4,13MP + 2MP,8MP Front Camera,"4G VOLTE, 4G, 3G, 2G",5000 mAh,6.56,MediaTek,OPPO,13,8,0,5000
https://www.flipkart.com/oppo-a55-starry-black-128-gb/p/itmfd07b94a9a543?pid=MOBGM5U2QTKHMKH8&lid=LSTMOBGM5U2QTKHMKH8C6PRFH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBGM5U2QTKHMKH8.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A55 (Starry Black, 128 GB)  (4 GB RAM)",18999,16990,Starry Black,0,16.54 cm (6.51 inch),MediaTek MediaTek G35,128,4,50MP + 2MP + 2MP,16MP Front Camera,"4G, 3G, 2G",5000 mAh,6.51,MediaTek,OPPO,50,16,0,5000
https://www.flipkart.com/oppo-a55-mint-green-128-gb/p/itmfd07b94a9a543?pid=MOBGM5U2FSMGTEX9&lid=LSTMOBGM5U2FSMGTEX96IBZER&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBGM5U2FSMGTEX9.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A55 (Mint Green, 128 GB)  (4 GB RAM)",18999,16990,Mint Green,0,16.54 cm (6.51 inch),MediaTek MediaTek G35,128,4,50MP + 2MP + 2MP,16MP Front Camera,"4G, 3G, 2G",5000 mAh,6.51,MediaTek,OPPO,50,16,0,5000
https://www.flipkart.com/oppo-a17-sunlight-orange-64-gb/p/itm972be448027ca?pid=MOBGGFG3DJBQJH5A&lid=LSTMOBGGFG3DJBQJH5AIVKM8V&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBGGFG3DJBQJH5A.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A17 (Sunlight Orange, 64 GB)  (4 GB RAM)",14999,12499,Sunlight Orange,0,16.66 cm (6.56 inch),MediaTek MediaTek G35,64,4,50MP + 0.3MP + 0.3MP,Yes,"4G VOLTE, 4G, 3G, 2G",5000 mAh,6.56,MediaTek,OPPO,50,8,0,5000
https://www.flipkart.com/oppo-a77-sunset-orange-128-gb/p/itme5841383d98bb?pid=MOBGHFT5PKS2676B&lid=LSTMOBGHFT5PKS2676BJWDADA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBGHFT5PKS2676B.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A77 (Sunset Orange, 128 GB)  (4 GB RAM)",19999,15999,Sunset Orange,1,16.66 cm (6.56 inch),MediaTek MediaTek G35,128,4,50MP + 2MP,8MP Front Camera,"4G, 3G, 2G",5000 mAh,6.56,MediaTek,OPPO,50,8,0,5000
https://www.flipkart.com/oppo-a77-sky-blue-64-gb/p/itme5841383d98bb?pid=MOBGGMJ9PD5CGGHA&lid=LSTMOBGGMJ9PD5CGGHANA61VP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=d6298b32-3060-4c5f-87c7-2c64db1f2830.MOBGGMJ9PD5CGGHA.SEARCH&ssid=idivcn3hjk0000001697361620604&qH=eb4af0bf07c16429,"OPPO A77 (Sky Blue, 64 GB)  (4 GB RAM)",18999,15499,Sky Blue,1,16.66 cm (6.56 inch),MediaTek MediaTek G35,64,4,50MP + 2MP,8MP Front Camera,"4G, 3G, 2G",5000 mAh,6.56,MediaTek,OPPO,50,8,0,5000
